"date1","Hourly_RelHum_Mean","Temp_Mean","MaxTemp_Mean","AvgRelHum_Mean","Hourly_RelHum_TempMean","Hourly_RelHum_TempMax"
2016-11-15,83.7449541284404,48.625,52.25,76.5,40.7209839449541,43.7567385321101
2016-11-16,78.8820638820639,49.375,59.875,69,38.948019041769,47.2306357493858
2016-11-17,72.0849315068493,47.375,60.125,65.5,34.1502363013699,43.3410650684932
2016-11-18,66.7605177993528,49.25,63.375,69.5,32.8795550161812,42.3094781553398
2016-11-19,76.2892561983471,47.75,61.125,73,36.4281198347107,46.6318078512397
2016-11-20,76.822125813449,42.625,51,69,32.7454311279826,39.179284164859
2016-11-21,61.2401215805471,35.625,38.5,56,21.8167933130699,23.5774468085106
2016-11-22,54.7183544303797,37.625,42,50.5,20.5877808544304,22.9817088607595
2016-11-23,57.9490445859873,36.875,44,54.5,21.3687101910828,25.4975796178344
2016-11-24,72.1212121212121,39.875,46.25,71.5,28.7583333333333,33.3560606060606
2016-11-25,89.5120879120879,45.875,50.5,86,41.0636703296703,45.2036043956044
2016-11-26,84.3065217391304,43.125,51.25,77.5,36.3571875,43.2070923913044
2016-11-27,69.3065015479876,39.5,48.5,67,27.3760681114551,33.613653250774
2016-11-28,70.6918238993711,37.875,50.125,69,26.7745283018868,35.4342767295597
2016-11-29,90.0234375,47,59.5,88,42.311015625,53.5639453125
2016-11-30,93.2998171846435,50.125,55.875,NA,46.7665333638026,52.1312728519196
2016-12-01,75.4382871536524,49.375,57,68.5,37.2476542821159,42.9998236775819
2016-12-02,59.6655518394649,43.125,50.875,62,25.7307692307692,30.3548494983278
2016-12-03,54.6161290322581,42.25,46.5,52,23.075314516129,25.3965
2016-12-04,54.8248407643312,36.125,43.375,52.5,19.8054737261147,23.7802746815287
2016-12-05,79.9932432432432,38.625,46.5,72.5,30.8973902027027,37.1968581081081
2016-12-06,73.453216374269,36.5,46.375,68,26.8104239766082,34.0639290935673
2016-12-07,87.3974082073434,40.125,44.375,84,35.0682100431965,38.7825998920086
2016-12-08,76.1395939086294,37.5,43.875,70,28.552347715736,33.4062468274112
2016-12-09,50.2126984126984,33,39.25,48,16.5701904761905,19.7084841269841
2016-12-10,55.7916666666667,25.625,33.125,55.5,14.2966145833333,18.4809895833333
2016-12-11,75.7369727047146,24.625,34.625,70,18.650229528536,26.2239267990074
2016-12-12,88.2184368737475,38.75,45.875,82.5,34.1846442885772,40.4702079158317
2016-12-13,59.9122257053292,36.25,42.25,54.5,21.7181818181818,25.3129153605016
2016-12-14,61.0060975609756,34.25,42.75,56.5,20.8945884146341,26.0801067073171
2016-12-15,40.9972144846797,26.25,33.125,38,10.7617688022284,13.5803272980501
2016-12-16,51.1901840490798,18.25,25.875,47,9.34220858895705,13.2454601226994
2016-12-17,86.6810810810811,30.25,37,84,26.221027027027,32.072
2016-12-18,85.9405204460967,42,53.875,76.5,36.0950185873606,46.3004553903346
2016-12-19,41.4126984126984,23.875,29.75,40,9.88728174603175,12.3202777777778
2016-12-20,56.3507246376812,22,33,51,12.3971594202899,18.5957391304348
2016-12-21,60.2222222222222,30,39.375,58,18.0666666666667,23.7125
2016-12-22,66.4810126582279,36.5,45.875,64.5,24.2655696202532,30.498164556962
2016-12-23,61.247619047619,37.875,46.25,61,23.1975357142857,28.3270238095238
2016-12-24,85.2449888641425,38.625,44.375,78.5,32.9258769487751,37.8274638084633
2016-12-25,63.5299401197605,38.125,48.5,55,24.2207896706587,30.8120209580838
2016-12-26,74.9452054794521,34.75,47.625,66.5,26.0434589041096,35.692654109589
2016-12-27,78.8505154639175,46.5,58.5,70.5,36.6654896907217,46.1275515463918
2016-12-28,62.5443037974684,34.5,41.75,57,21.5777848101266,26.112246835443
2016-12-29,86.2734864300626,33.25,41.375,80,28.6859342379958,35.6956550104384
2016-12-30,63.5964391691395,36.25,41.5,63,23.0537091988131,26.3925222551929
2016-12-31,63.1882716049383,35,44.125,62.5,22.1158950617284,27.881824845679
2017-01-01,60.1692789968652,36.5,46.75,58,21.9617868338558,28.1291379310345
2017-01-02,78.9277777777778,30.75,37.25,75.5,24.2702916666667,29.4005972222222
2017-01-03,90.286282306163,40,43,90.5,36.1145129224652,38.8231013916501
2017-01-04,77.6787709497207,42.5,50.125,71,33.0134776536313,38.9364839385475
2017-01-05,42.0414937759336,31.125,35,42.5,13.0854149377593,14.7145228215768
2017-01-06,69.7758620689655,26.375,31.625,58.5,18.4033836206897,22.0666163793103
2017-01-07,72.6198979591837,20.625,22.5,68.5,14.9778539540816,16.3394770408163
2017-01-08,60.6395348837209,16,23.125,56.5,9.70232558139535,14.0228924418605
2017-01-09,62.4571428571429,12.75,23.25,59,7.96328571428571,14.5212857142857
2017-01-10,78.3877551020408,23.75,42.625,75.5,18.6170918367347,33.4127806122449
2017-01-11,80.059620596206,44.25,51.75,77,35.4263821138211,41.4308536585366
2017-01-12,89.5199004975124,48.875,56.5,89.5,43.7528513681592,50.5787437810945
2017-01-13,58.7283582089552,41.625,55.25,54,24.4456791044776,32.4474179104478
2017-01-14,63.5645161290323,25.75,30.25,59,16.3678629032258,19.2282661290323
2017-01-15,67.491124260355,29.5,40.25,62.5,19.9098816568047,27.1651775147929
2017-01-16,65.8864353312303,29.25,41,65.5,19.2717823343849,27.0134384858044
2017-01-17,76.1221590909091,36.625,41.5,75,27.8797407670455,31.5906960227273
2017-01-18,91.5111607142857,38,39.625,89.5,34.7742410714286,36.2612974330357
2017-01-19,79.2282352941177,40.625,48.375,75,32.1864705882353,38.3266588235294
2017-01-20,76.7606837606838,39,42.375,74.5,29.9366666666667,32.5273397435897
2017-01-21,91.2706131078224,44,51.625,88,40.1590697674419,47.1184540169133
2017-01-22,88.1281512605042,45.875,53.75,87,40.4287893907563,47.368881302521
2017-01-23,77.8250652741514,39,42.375,77,30.3517754569191,32.9783714099217
2017-01-24,86.5132158590308,38,39.875,83,32.8750220264317,34.4971448237885
2017-01-25,70.2061281337047,39.375,44.625,69.5,27.6436629526462,31.3294846796657
2017-01-26,72.2572347266881,44.25,52.125,72,31.9738263665595,37.6640836012862
2017-01-27,50.7032258064516,40,43.875,50.5,20.2812903225806,22.2460403225806
2017-01-28,54.0511182108626,36.25,41,53.5,19.5935303514377,22.1609584664537
2017-01-29,55.7809523809524,34.375,42.875,53.5,19.1747023809524,23.9160833333333
