"date1","Reported_PrecipSum","Hourly_RelHum_Mean","Hourly_SeaPressure_Mean","Hourly_StationPressure_Mean","Hourly_Visibility_Mean","Hourly_WindDir_Mean","HourlyWindGust_Mean","HourlyWindSpeed_Mean","Hourly_Temp_Mean","Temp_Mean","AvgWindSpeed_Mean","MaxTemp_Mean","MinTemp_Mean","PeakWindSpd_Mean","PeakWindDir_Mean","AvgRelHum_Mean","AvgPressure_Mean","Precip_Max_inState","RelHumidity_Max_inState","WindGust_Max_inState","Temp_Max_inState","Precip_Sum_Calc"
2017-12-28,0,49.32,30.4563392857143,30.1590333333333,9.9984,294.413385826772,11.8284789644013,10.4239482200647,9.69666666666667,10.3333333333333,11.0444444444444,14.2222222222222,5.55555555555556,33.2222222222222,303.333333333333,47,30.2277777777778,0,87,38,18,0
2017-12-29,0,52.2275862068966,30.2695982142857,29.9815172413793,9.99834482758621,260.8984375,1.65886287625418,6.18394648829431,10.9448275862069,11.8888888888889,6.23333333333333,18.6666666666667,4.55555555555556,20.5555555555556,308.888888888889,51.5,30.0466666666667,0,80,22,21,0
2017-12-30,0.03,78.575,30.0514349775785,29.785,5.832875,100.649350649351,0.0390243902439024,2.26829268292683,13.56,11.6666666666667,2.64444444444444,19.3333333333333,3.88888888888889,13.8888888888889,268.888888888889,78.5,29.8388888888889,0.4,96,16,22,0.0675657894736842
2017-12-31,0,57.0203389830508,30.1922421524664,29.9310646387833,9.73396610169491,278.511450381679,7.53846153846154,8.55128205128205,9.01694915254237,8.11111111111111,8.96666666666667,14.1111111111111,1.66666666666667,29,332.222222222222,55.5,30,0,91,31,19,0
2018-01-01,0,51.8732876712329,30.3135267857143,30.0218493150685,9.99150684931507,251.026615969582,5.72093023255814,7.38538205980066,6.05821917808219,6.77777777777778,7.35555555555556,14.3333333333333,-1.33333333333333,27,311.111111111111,53,30.0755555555556,0,82,31,17,0
2018-01-02,0,59.0891089108911,30.3138116591928,30.0354882154882,9.99511551155116,223.037037037037,1.40064102564103,6.15064102564103,13.6831683168317,12.2222222222222,6.48888888888889,23.1111111111111,1.11111111111111,20.7777777777778,264.444444444444,58,30.08,0,91,24,25,0
2018-01-03,0,62.1966101694915,30.2425446428571,29.9610847457627,9.90716216216216,138.4229390681,0.0524590163934426,3.73114754098361,16.6881355932203,16.1111111111111,3.81111111111111,27,4.66666666666667,14.6666666666667,218.888888888889,60,30.0277777777778,0,91,16,28,0
2018-01-04,0.279,79.3133802816901,29.4419909502262,29.1536412078153,2.79364326375712,245.615384615385,24.8460207612457,17.7768166089965,22.9119718309859,22.6666666666667,18.5625,26.8888888888889,17.5555555555556,47,333.333333333333,77,29.2555555555556,0.2,93,57,29,0.0349718864468865
2018-01-05,0.001,47.9297658862876,29.6917488789238,29.4048829431438,9.44552901023891,283.705179282869,24.5307443365696,14.7864077669903,11.8528428093645,14,16.0555555555556,21.3333333333333,6.33333333333333,40.2222222222222,283.333333333333,50.5,29.42,0.01,74,45,24,0.000769230769230769
2018-01-06,0,43.513698630137,30.1417488789238,29.852397260274,9.83578767123288,286.923076923077,17.9668874172185,12.3841059602649,7.33904109589041,7.33333333333333,13.5888888888889,12.7777777777778,1.55555555555556,34.8888888888889,291.111111111111,45.5,29.8666666666667,0,65,40,14,0
